factor,setting,ari_vs_baseline,nmi_vs_baseline,target_jaccard,target_size,inertia,iterations,runtime_seconds
record_order,original,1.0,1.0,1.0,429,8786.6953125,4,0.9838430999952834
record_order,random,0.09176856293648201,0.28470067522967724,0.006622516556291391,331,8769.904296875,8,1.51383050000004
record_order,hashed_record_id,0.11260630540241863,0.28397090823438786,0.0011547344110854503,438,8779.0625,7,2.3190285000018775
record_order,reversed,0.11260630540241863,0.28397090823438786,0.0011547344110854503,438,8779.0625,7,8.728327899996657
