factor,setting,ari_vs_baseline,nmi_vs_baseline,target_jaccard,target_size,inertia,iterations,runtime_seconds
batch_size,256,0.08562699585912953,0.27697974900783606,0.07142857142857142,1791,8961.943359375,3,3.3097879999986617
batch_size,512,0.09195033291658986,0.2792315654915808,0.12388503468780972,705,8843.3349609375,4,1.6156599999958416
batch_size,1024,1.0,1.0,1.0,429,8786.6953125,4,3.99583469999925
batch_size,2048,0.08735750405859306,0.2810276044005403,0.0,319,8761.642578125,8,9.37821840000106
batch_size,4096,0.07209725846581985,0.26464557847617765,0.0014204545454545455,276,8775.49609375,8,16.634922999997798
