design,fold,seed,k,n,n_groups,positives,negatives,prevalence,train_n,train_n_groups,train_positives,train_negatives,train_prevalence,target_cluster_train,threshold,calibration,group_overlap,training_state_sha256,representation,representation_explained_variance,runtime_seconds,roc_auc,pr_auc,pr_auc_baseline,balanced_accuracy,precision,recall,f1,brier
grouped_cross_fitted,0,20260727,64,1897,1885,112,1785,0.05904059040590406,7585,7537,359,7226,0.047330257086354646,44,0.14376525580883026,logistic_train_only,0,9db6030e14d20e5c319d810cdd0b20ff6dda0a9f0f115c4144c0a274a48c15d3,original_l2,,4.981673500000397,0.8979141656662666,0.4477791689179048,0.05904059040590406,0.7181372549019608,0.5098039215686274,0.4642857142857143,0.48598130841121495,0.046312619000673294
grouped_cross_fitted,1,20260728,64,1897,1885,122,1775,0.06431207169214549,7585,7537,410,7175,0.05405405405405406,46,0.16851472854614258,logistic_train_only,0,332a30e6b1b5fa791365d28404f94591c7a7549c1a3083bb18f755e2f4cd7090,original_l2,,3.504468000000088,0.9041699376587392,0.40586411704223224,0.06431207169214549,0.665552990071577,0.4017857142857143,0.36885245901639346,0.38461538461538464,0.04935074597597122
grouped_cross_fitted,2,20260729,64,1896,1884,75,1821,0.03955696202531646,7586,7538,345,7241,0.04547851305035592,57,0.11060512065887451,logistic_train_only,0,8639be395db597b25b91e6eefd097a853754bae70c9d78f2f6940d943e97fc35,original_l2,,2.5317007000003287,0.8816913783635365,0.2110403899833494,0.03955696202531646,0.6631301482701812,0.20863309352517986,0.38666666666666666,0.27102803738317754,0.03445038944482803
grouped_cross_fitted,3,20260730,64,1896,1884,89,1807,0.0469409282700422,7586,7538,340,7246,0.04481940416556815,59,0.17850418388843536,logistic_train_only,0,20be5254d1e8c6233e86b7924d32e93342796ef3761fac610b210741efda8741,original_l2,,3.894626700000117,0.9000267374691432,0.33098119315815866,0.0469409282700422,0.5999079733620192,0.3076923076923077,0.2247191011235955,0.2597402597402597,0.038248833268880844
grouped_cross_fitted,4,20260731,64,1896,1884,113,1783,0.05959915611814346,7586,7538,347,7239,0.04574215660427103,36,0.18711918592453003,logistic_train_only,0,ada3194bb4020c944657fcbbc8d138ff7661ef550ae7d71c8b1045009b9836ec,original_l2,,2.740771400000085,0.8970463422987011,0.34537141137342836,0.05959915611814346,0.6010849765980574,0.423728813559322,0.22123893805309736,0.29069767441860467,0.04813077673316002
